,Winner,T1_TwitterVol,T2_TwitterVol,T1_FansSent,T2_FansSent,T1_FansPred,T2_FansPred
467,1,0.508298755,0.491701245,0.454356846,0.425311203,0.666666667,0.333333333
468,0,0.749723145,0.250276855,0.667774086,0.170542636,0.875,0.125
469,0,0.569844789,0.430155211,0.492239468,0.383592018,0.5,0.5
470,0,0.740618102,0.259381898,0.690949227,0.241721854,0.714285714,0.285714286
471,1,0.721064815,0.278935185,0.65162037,0.261574074,0.571428571,0.428571429
472,1,0.732638889,0.267361111,0.6875,0.21875,0.714285714,0.285714286
473,1,0.658666667,0.341333333,0.485333333,0.250666667,1,0
474,1,0.774795799,0.225204201,0.736289382,0.199533256,0.8,0.2
475,1,0.511156187,0.488843813,0.484787018,0.464503043,0.4,0.6
476,1,0.673120729,0.326879271,0.641230068,0.257403189,0.666666667,0.333333333
477,0,0.684510251,0.315489749,0.651480638,0.256264237,0.75,0.25
478,0,0.270408163,0.729591837,0.255102041,0.56122449,0,1
479,1,0.283333333,0.716666667,0.177777778,0.644444444,0,1
480,1,0.851086957,0.148913043,0.752173913,0.114130435,0.8,0.2
481,1,0.363636364,0.636363636,0.255681818,0.460227273,0.5,0.5
482,0,0.846857143,0.153142857,0.778285714,0.116571429,0.6,0.4
483,1,0.86557377,0.13442623,0.816393443,0.108196721,0.833333333,0.166666667
484,1,0.871736663,0.128263337,0.807037457,0.081725312,0.8,0.2
485,1,0.857615894,0.142384106,0.804635762,0.111479029,0.714285714,0.285714286
486,1,0.711798839,0.288201161,0.497098646,0.230174081,0,0
487,1,0.674568966,0.325431034,0.618534483,0.245689655,0.666666667,0.333333333
488,0,0.669230769,0.330769231,0.582692308,0.242307692,0.6,0.4
489,1,0.531744519,0.468255481,0.402669209,0.341086749,0.678571429,0.321428571
490,1,0.677725118,0.322274882,0.600315956,0.233807267,1,0
491,0,0.546856697,0.453143303,0.451581414,0.331511128,0.714285714,0.285714286
492,0,0.75,0.25,0.675925926,0.192760943,0.416666667,0.583333333
493,0,0.434872502,0.565127498,0.374224673,0.49896623,0.714285714,0.285714286
494,0,0.449473684,0.550526316,0.285263158,0.514736842,0.409090909,0.590909091
495,0,0.818806355,0.181193645,0.57878918,0.142121082,0.739130435,0.260869565
496,0,0.754385965,0.245614035,0.494623656,0.220147142,0.636363636,0.363636364
497,1,0.722304284,0.277695716,0.599704579,0.14844904,0.615384615,0.384615385
498,1,0.766132525,0.233867475,0.429190126,0.196621914,0.722222222,0.277777778
499,0,0.689388071,0.310611929,0.544539117,0.293570875,0.6,0.4
500,1,0.763487738,0.236512262,0.524250681,0.191280654,0.75,0.25
501,1,0.564022486,0.435977514,0.549031855,0.361648969,0.571428571,0.428571429
502,1,0.796037821,0.203962179,0.629446195,0.174245835,0.846153846,0.153846154
503,1,0.596273292,0.403726708,0.519668737,0.373706004,0.625,0.375
504,0,0.594491928,0.405508072,0.539411206,0.32668566,0.75,0.25
505,1,0.765667575,0.234332425,0.725703906,0.151680291,0.75,0.25
506,0,0.68442623,0.31557377,0.577868852,0.244535519,0.666666667,0.333333333
507,0,0.795233892,0.204766108,0.736098853,0.157105031,0.75,0.25
508,1,0.559800664,0.440199336,0.473421927,0.317275748,1,0
509,1,0.793048973,0.206951027,0.753554502,0.116903633,0.571428571,0.428571429
510,1,0.570409982,0.429590018,0.515151515,0.319073084,0.666666667,0.333333333
511,1,0.747835498,0.252164502,0.696969697,0.180735931,0.636363636,0.363636364
512,1,0.691823899,0.308176101,0.52672956,0.243710692,0,1
513,1,0.505263158,0.494736842,0.315789474,0.305263158,1,0
514,0,0.604081633,0.395918367,0.504761905,0.34829932,0.5,0.5
515,1,0.634545455,0.365454545,0.525454545,0.303636364,0.5,0.5
516,1,0.611764706,0.388235294,0.482352941,0.258823529,0,0
517,1,0.749011858,0.250988142,0.634387352,0.175889328,0.666666667,0.333333333
518,1,0.654639175,0.345360825,0.572164948,0.286941581,0.6,0.4
