,ID,Venue,T1_Mat,T1_AvgRunsScored,T1_AvgRunsConceded,T1_AvgWktsTaken,T1_AvgWktsLost,T1_AvgBound,T1_W/L,T2_Mat,T2_AvgRunsScored,T2_AvgRunsConceded,T2_AvgWktsTaken,T2_AvgWktsLost,T2_AvgBound,T2_W/L,Winner
103,104,Asia,66,6.93,7.11,0.32,0.35,0.82,1.275,41,7.6,7.89,0.3,0.3,0.93,1.157,0
104,105,Asia,60,7.27,7.32,0.32,0.31,0.88,1.4,52,7.04,7.33,0.31,0.32,0.85,1.363,0
105,106,Asia,62,7.56,7.79,0.31,0.33,0.93,1,56,7.14,7.83,0.29,0.36,0.86,0.75,0
106,107,Asia,67,6.92,7.11,0.32,0.35,0.82,1.233,64,7.98,7.57,0.33,0.33,0.97,1.206,1
107,108,Asia,42,7.58,7.85,0.29,0.3,0.93,1.21,48,7.33,7.87,0.29,0.33,0.94,0.846,1
108,109,Asia,61,7.27,7.34,0.32,0.31,0.88,1.346,57,7.16,7.84,0.29,0.36,0.86,0.781,1
109,110,Asia,49,7.29,7.84,0.29,0.33,0.94,0.814,23,6.62,8.1,0.26,0.4,0.81,0.15,1
110,111,Asia,53,7.05,7.34,0.31,0.32,0.85,1.409,63,7.57,7.79,0.31,0.33,0.94,0.968,0
111,112,Asia,65,7.99,7.59,0.33,0.33,0.98,1.166,50,7.3,7.78,0.29,0.33,0.94,0.851,0
112,113,Asia,43,7.55,7.81,0.29,0.29,0.93,1.263,24,6.55,8.1,0.26,0.41,0.8,0.142,1
113,114,Asia,62,7.29,7.36,0.32,0.31,0.88,1.384,64,7.6,7.82,0.3,0.33,0.94,1,1
114,115,Asia,68,6.95,7.14,0.32,0.35,0.82,1.266,25,6.55,8.08,0.25,0.41,0.81,0.136,1
115,116,Asia,44,7.55,7.79,0.3,0.29,0.92,1.315,66,7.99,7.61,0.33,0.33,0.98,1.129,1
116,117,Asia,54,7.09,7.38,0.31,0.32,0.86,1.347,58,7.17,7.86,0.29,0.36,0.87,0.757,1
117,118,Asia,67,7.95,7.61,0.33,0.33,0.97,1.093,26,6.55,8.13,0.25,0.4,0.81,0.13,1
118,119,Asia,69,6.97,7.13,0.32,0.34,0.83,1.3,51,7.33,7.8,0.29,0.33,0.95,0.888,0
119,120,Asia,55,7.07,7.33,0.31,0.32,0.86,1.391,52,7.34,7.75,0.3,0.33,0.95,0.925,1
120,121,Asia,63,7.32,7.39,0.32,0.31,0.88,1.423,45,7.53,7.73,0.3,0.29,0.92,1.368,0
121,122,Asia,56,7.08,7.31,0.31,0.32,0.86,1.434,46,7.56,7.75,0.3,0.29,0.93,1.421,1
122,123,Europe,57,7.08,7.29,0.3,0.32,0.86,1.478,65,7.62,7.85,0.3,0.33,0.95,0.969,1
123,124,America,53,7.31,7.75,0.3,0.33,0.94,0.892,59,7.13,7.82,0.3,0.36,0.86,0.735,0
124,125,America,54,7.29,7.75,0.3,0.33,0.94,0.862,60,7.13,7.81,0.3,0.36,0.86,0.764,1
125,126,Europe,47,7.53,7.74,0.3,0.29,0.92,1.35,66,7.62,7.87,0.3,0.33,0.95,0.941,0
126,127,Asia,70,6.94,7.15,0.32,0.35,0.82,1.258,68,7.96,7.61,0.33,0.33,0.98,1.125,0
127,128,Oceania,64,7.34,7.42,0.32,0.31,0.89,1.37,69,7.94,7.56,0.33,0.33,0.98,1.156,1
128,129,Oceania,65,7.34,7.41,0.32,0.31,0.89,1.407,70,7.93,7.56,0.33,0.33,0.97,1.121,0
129,130,Oceania,66,7.3,7.42,0.32,0.31,0.88,1.357,71,7.92,7.52,0.33,0.33,0.97,1.151,0
130,131,Asia,71,6.9,7.14,0.32,0.35,0.81,1.218,61,7.12,7.82,0.3,0.37,0.86,0.742,1
131,132,Asia,72,6.9,7.13,0.32,0.35,0.81,1.25,62,7.11,7.81,0.29,0.36,0.85,0.722,0
132,133,Africa,67,7.3,7.42,0.32,0.31,0.88,1.31,55,7.31,7.73,0.3,0.33,0.94,0.896,0
133,134,Africa,68,7.31,7.44,0.32,0.31,0.88,1.266,56,7.33,7.73,0.3,0.33,0.94,0.931,0
134,135,Africa,69,7.36,7.51,0.32,0.31,0.89,1.225,57,7.41,7.8,0.29,0.33,0.96,0.965,1
135,136,Asia,73,6.89,7.14,0.32,0.35,0.81,1.212,27,6.56,8.15,0.25,0.4,0.81,0.125,0
136,137,Europe,67,7.64,7.88,0.3,0.33,0.95,0.97,63,7.1,7.79,0.3,0.37,0.85,0.75,1
137,138,Asia,70,7.39,7.49,0.32,0.3,0.89,1.258,28,6.63,8.1,0.25,0.39,0.83,0.166,1
138,139,Asia,71,7.39,7.46,0.32,0.3,0.89,1.29,29,6.57,8.07,0.25,0.4,0.81,0.16,1
139,140,Asia,58,7.12,7.31,0.31,0.32,0.87,1.521,74,6.88,7.15,0.32,0.35,0.81,1.176,0
140,141,Asia,59,7.12,7.34,0.3,0.32,0.87,1.458,75,6.9,7.15,0.32,0.35,0.81,1.205,0
141,142,Africa,72,7.39,7.45,0.33,0.3,0.89,1.322,64,7.11,7.82,0.3,0.37,0.86,0.729,1
142,143,Africa,73,7.4,7.45,0.33,0.3,0.89,1.354,65,7.11,7.82,0.3,0.37,0.86,0.71,0
143,144,Europe,72,7.91,7.51,0.33,0.33,0.97,1.181,68,7.66,7.88,0.3,0.33,0.96,1,0
